<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
EURUSD,10,20200201,001000,1.1090700,7221
EURUSD,10,20200201,002000,1.1090100,6219
EURUSD,10,20200201,003000,1.1093100,5629
EURUSD,10,20200201,004000,1.1094200,3171
EURUSD,10,20200201,005000,1.1094500,7011
EURUSD,10,20200201,010000,1.1093700,7216
EURUSD,10,20200201,011000,1.1091700,1
EURUSD,10,20200202,211000,1.1085100,9
EURUSD,10,20200202,212000,1.1089900,13
EURUSD,10,20200202,213000,1.1089900,23
EURUSD,10,20200202,214000,1.1086000,17
EURUSD,10,20200202,215000,1.1083500,12
EURUSD,10,20200202,220000,1.1083300,2
EURUSD,10,20200202,221000,1.1083900,2
EURUSD,10,20200202,223000,1.1083400,2
EURUSD,10,20200202,224000,1.1083400,1
EURUSD,10,20200202,231000,1.1082900,1
EURUSD,10,20200202,232000,1.1085400,4
EURUSD,10,20200202,234000,1.1082000,12
EURUSD,10,20200202,235000,1.1082800,17
EURUSD,10,20200203,000000,1.1082000,22
EURUSD,10,20200203,001000,1.1089000,32
EURUSD,10,20200203,002000,1.1089000,27
EURUSD,10,20200203,003000,1.1090800,33
EURUSD,10,20200203,004000,1.1092300,42
EURUSD,10,20200203,005000,1.1093300,43
EURUSD,10,20200203,010000,1.1094000,39
EURUSD,10,20200203,011000,1.1091900,1920
EURUSD,10,20200203,012000,1.1090900,2295
EURUSD,10,20200203,013000,1.1089700,3556
EURUSD,10,20200203,014000,1.1082500,22033
EURUSD,10,20200203,015000,1.1087800,31734
EURUSD,10,20200203,020000,1.1084900,23535
EURUSD,10,20200203,021000,1.1090200,10448
EURUSD,10,20200203,022000,1.1089000,4198
EURUSD,10,20200203,023000,1.1089200,4102
EURUSD,10,20200203,024000,1.1089400,3448
EURUSD,10,20200203,025000,1.1088000,2759
EURUSD,10,20200203,030000,1.1089100,4403
EURUSD,10,20200203,031000,1.1087400,4428
EURUSD,10,20200203,032000,1.1086300,3314
EURUSD,10,20200203,033000,1.1085200,2291
EURUSD,10,20200203,034000,1.1081900,5627
EURUSD,10,20200203,035000,1.1081000,5063
EURUSD,10,20200203,040000,1.1080000,4668
EURUSD,10,20200203,041000,1.1080400,6305
EURUSD,10,20200203,042000,1.1080500,6691
EURUSD,10,20200203,043000,1.1087100,8681
EURUSD,10,20200203,044000,1.1083500,7391
EURUSD,10,20200203,045000,1.1082000,6144
EURUSD,10,20200203,050000,1.1083000,4300
EURUSD,10,20200203,051000,1.1082400,4667
EURUSD,10,20200203,052000,1.1081600,6665
EURUSD,10,20200203,053000,1.1081900,5147
EURUSD,10,20200203,054000,1.1082900,6341
EURUSD,10,20200203,055000,1.1080300,5846
EURUSD,10,20200203,060000,1.1081200,4676
EURUSD,10,20200203,061000,1.1082700,5737
EURUSD,10,20200203,062000,1.1082800,3766
EURUSD,10,20200203,063000,1.1080400,3943
EURUSD,10,20200203,064000,1.1081300,2980
EURUSD,10,20200203,065000,1.1082100,2564
EURUSD,10,20200203,070000,1.1081200,2879
EURUSD,10,20200203,071000,1.1082400,2435
EURUSD,10,20200203,072000,1.1082100,1994
EURUSD,10,20200203,073000,1.1082000,1327
EURUSD,10,20200203,074000,1.1083000,2013
EURUSD,10,20200203,075000,1.1083000,2649
EURUSD,10,20200203,080000,1.1081600,2092
EURUSD,10,20200203,081000,1.1082100,2735
EURUSD,10,20200203,082000,1.1083400,2710
EURUSD,10,20200203,083000,1.1083200,3423
EURUSD,10,20200203,084000,1.1083000,3920
EURUSD,10,20200203,085000,1.1084300,3509
EURUSD,10,20200203,090000,1.1083500,2581
EURUSD,10,20200203,091000,1.1085800,3327
EURUSD,10,20200203,092000,1.1083800,2657
EURUSD,10,20200203,093000,1.1082400,2894
EURUSD,10,20200203,094000,1.1080000,3058
EURUSD,10,20200203,095000,1.1082000,4704
EURUSD,10,20200203,100000,1.1082400,5468
EURUSD,10,20200203,101000,1.1082800,9290
EURUSD,10,20200203,102000,1.1076100,10464
EURUSD,10,20200203,103000,1.1074800,9355
EURUSD,10,20200203,104000,1.1072400,10106
EURUSD,10,20200203,105000,1.1073000,9829
EURUSD,10,20200203,110000,1.1074700,9457
EURUSD,10,20200203,111000,1.1075800,15289
EURUSD,10,20200203,112000,1.1077900,12778
EURUSD,10,20200203,113000,1.1074300,11450
EURUSD,10,20200203,114000,1.1070800,10601
EURUSD,10,20200203,115000,1.1068100,9123
EURUSD,10,20200203,120000,1.1066100,11530
EURUSD,10,20200203,121000,1.1065200,9836
EURUSD,10,20200203,122000,1.1060800,11037
EURUSD,10,20200203,123000,1.1062300,9087
EURUSD,10,20200203,124000,1.1066600,8400
EURUSD,10,20200203,125000,1.1065800,8075
EURUSD,10,20200203,130000,1.1072400,10419
EURUSD,10,20200203,131000,1.1068000,14126
EURUSD,10,20200203,132000,1.1066400,8960
EURUSD,10,20200203,133000,1.1067300,9254
EURUSD,10,20200203,134000,1.1067200,6727
EURUSD,10,20200203,135000,1.1066200,8719
EURUSD,10,20200203,140000,1.1064800,8817
EURUSD,10,20200203,141000,1.1062700,12278
EURUSD,10,20200203,142000,1.1061600,9709
EURUSD,10,20200203,143000,1.1062200,10197
EURUSD,10,20200203,144000,1.1059500,7248
EURUSD,10,20200203,145000,1.1060700,9890
EURUSD,10,20200203,150000,1.1062600,8567
EURUSD,10,20200203,151000,1.1064300,7855
EURUSD,10,20200203,152000,1.1065200,6428
EURUSD,10,20200203,153000,1.1063300,5657
EURUSD,10,20200203,154000,1.1061000,5040
EURUSD,10,20200203,155000,1.1065100,6145
EURUSD,10,20200203,160000,1.1065800,6568
EURUSD,10,20200203,161000,1.1066100,8414
EURUSD,10,20200203,162000,1.1063500,6008
EURUSD,10,20200203,163000,1.1061000,8531
EURUSD,10,20200203,164000,1.1062700,5754
EURUSD,10,20200203,165000,1.1064700,6536
EURUSD,10,20200203,170000,1.1063100,5922
EURUSD,10,20200203,171000,1.1059400,6668
EURUSD,10,20200203,172000,1.1056900,8489
EURUSD,10,20200203,173000,1.1054300,8879
EURUSD,10,20200203,174000,1.1052700,8192
EURUSD,10,20200203,175000,1.1047800,11283
EURUSD,10,20200203,180000,1.1047000,11845
EURUSD,10,20200203,181000,1.1048400,12077
EURUSD,10,20200203,182000,1.1047100,11956
EURUSD,10,20200203,183000,1.1049900,12133
EURUSD,10,20200203,184000,1.1046400,10836
EURUSD,10,20200203,185000,1.1049800,12383
EURUSD,10,20200203,190000,1.1055100,17033
EURUSD,10,20200203,191000,1.1055300,12044
EURUSD,10,20200203,192000,1.1059300,11333
EURUSD,10,20200203,193000,1.1058200,10531
EURUSD,10,20200203,194000,1.1059400,11235
EURUSD,10,20200203,195000,1.1062200,11502
EURUSD,10,20200203,200000,1.1062000,9645
EURUSD,10,20200203,201000,1.1062600,7590
EURUSD,10,20200203,202000,1.1063700,10498
EURUSD,10,20200203,203000,1.1062200,8231
EURUSD,10,20200203,204000,1.1061100,6784
EURUSD,10,20200203,205000,1.1061100,6128
EURUSD,10,20200203,210000,1.1058000,6660
EURUSD,10,20200203,211000,1.1061200,6016
EURUSD,10,20200203,212000,1.1062600,5899
EURUSD,10,20200203,213000,1.1061000,5702
EURUSD,10,20200203,214000,1.1059900,5176
EURUSD,10,20200203,215000,1.1058500,4965
EURUSD,10,20200203,220000,1.1060500,6940
