<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
GBPUSD,10,20200201,001000,1.3201000,7752
GBPUSD,10,20200201,002000,1.3202000,8652
GBPUSD,10,20200201,003000,1.3202000,8266
GBPUSD,10,20200201,004000,1.3206000,8902
GBPUSD,10,20200201,005000,1.3204000,8987
GBPUSD,10,20200201,010000,1.3202000,6066
GBPUSD,10,20200201,011000,1.3201000,3
GBPUSD,10,20200202,211000,1.3204000,21
GBPUSD,10,20200202,212000,1.3204000,10
GBPUSD,10,20200202,213000,1.3204000,10
GBPUSD,10,20200202,214000,1.3203000,12
GBPUSD,10,20200202,215000,1.3202000,18
GBPUSD,10,20200202,220000,1.3200000,3
GBPUSD,10,20200202,221000,1.3178000,6
GBPUSD,10,20200202,222000,1.3182000,7
GBPUSD,10,20200202,223000,1.3182000,1
GBPUSD,10,20200202,224000,1.3180000,1
GBPUSD,10,20200202,225000,1.3182000,1
GBPUSD,10,20200202,231000,1.3182000,1
GBPUSD,10,20200202,232000,1.3183000,3
GBPUSD,10,20200202,233000,1.3183000,4
GBPUSD,10,20200202,234000,1.3171000,24
GBPUSD,10,20200202,235000,1.3176000,32
GBPUSD,10,20200203,000000,1.3173000,30
GBPUSD,10,20200203,001000,1.3173000,29
GBPUSD,10,20200203,002000,1.3173000,30
GBPUSD,10,20200203,003000,1.3173000,34
GBPUSD,10,20200203,004000,1.3177000,34
GBPUSD,10,20200203,005000,1.3176000,53
GBPUSD,10,20200203,010000,1.3177000,41
GBPUSD,10,20200203,011000,1.3177000,1615
GBPUSD,10,20200203,012000,1.3177000,2117
GBPUSD,10,20200203,013000,1.3176000,2353
GBPUSD,10,20200203,014000,1.3175000,4110
GBPUSD,10,20200203,015000,1.3176000,4361
GBPUSD,10,20200203,020000,1.3177000,7426
GBPUSD,10,20200203,021000,1.3182000,8806
GBPUSD,10,20200203,022000,1.3181000,4276
GBPUSD,10,20200203,023000,1.3182000,5474
GBPUSD,10,20200203,024000,1.3183000,4611
GBPUSD,10,20200203,025000,1.3179000,9086
GBPUSD,10,20200203,030000,1.3181000,6363
GBPUSD,10,20200203,031000,1.3179000,5132
GBPUSD,10,20200203,032000,1.3179000,4967
GBPUSD,10,20200203,033000,1.3180000,3738
GBPUSD,10,20200203,034000,1.3178000,7067
GBPUSD,10,20200203,035000,1.3176000,5326
GBPUSD,10,20200203,040000,1.3175000,6318
GBPUSD,10,20200203,041000,1.3174000,10069
GBPUSD,10,20200203,042000,1.3175000,8445
GBPUSD,10,20200203,043000,1.3180000,11124
GBPUSD,10,20200203,044000,1.3179000,7900
GBPUSD,10,20200203,045000,1.3176000,7710
GBPUSD,10,20200203,050000,1.3176000,6965
GBPUSD,10,20200203,051000,1.3174000,7031
GBPUSD,10,20200203,052000,1.3173000,7276
GBPUSD,10,20200203,053000,1.3177000,10420
GBPUSD,10,20200203,054000,1.3177000,6745
GBPUSD,10,20200203,055000,1.3173000,8341
GBPUSD,10,20200203,060000,1.3173000,6360
GBPUSD,10,20200203,061000,1.3167000,11272
GBPUSD,10,20200203,062000,1.3166000,5546
GBPUSD,10,20200203,063000,1.3163000,7428
GBPUSD,10,20200203,064000,1.3157000,8234
GBPUSD,10,20200203,065000,1.3160000,8108
GBPUSD,10,20200203,070000,1.3158000,6087
GBPUSD,10,20200203,071000,1.3159000,5363
GBPUSD,10,20200203,072000,1.3162000,5012
GBPUSD,10,20200203,073000,1.3163000,4909
GBPUSD,10,20200203,074000,1.3169000,7611
GBPUSD,10,20200203,075000,1.3167000,5274
GBPUSD,10,20200203,080000,1.3164000,5208
GBPUSD,10,20200203,081000,1.3165000,7813
GBPUSD,10,20200203,082000,1.3165000,5658
GBPUSD,10,20200203,083000,1.3165000,5273
GBPUSD,10,20200203,084000,1.3164000,5443
GBPUSD,10,20200203,085000,1.3164000,2855
GBPUSD,10,20200203,090000,1.3163000,4109
GBPUSD,10,20200203,091000,1.3163000,5235
GBPUSD,10,20200203,092000,1.3161000,3474
GBPUSD,10,20200203,093000,1.3159000,7538
GBPUSD,10,20200203,094000,1.3158000,6523
GBPUSD,10,20200203,095000,1.3158000,5847
GBPUSD,10,20200203,100000,1.3154000,10809
GBPUSD,10,20200203,101000,1.3154000,16644
GBPUSD,10,20200203,102000,1.3148000,12441
GBPUSD,10,20200203,103000,1.3149000,12482
GBPUSD,10,20200203,104000,1.3146000,20695
GBPUSD,10,20200203,105000,1.3149000,12346
GBPUSD,10,20200203,110000,1.3143000,12332
GBPUSD,10,20200203,111000,1.3144000,26157
GBPUSD,10,20200203,112000,1.3138000,23538
GBPUSD,10,20200203,113000,1.3140000,18241
GBPUSD,10,20200203,114000,1.3127000,21337
GBPUSD,10,20200203,115000,1.3123000,23289
GBPUSD,10,20200203,120000,1.3117000,27205
GBPUSD,10,20200203,121000,1.3110000,26956
GBPUSD,10,20200203,122000,1.3101000,26759
GBPUSD,10,20200203,123000,1.3103000,23878
GBPUSD,10,20200203,124000,1.3101000,22176
GBPUSD,10,20200203,125000,1.3096000,19179
GBPUSD,10,20200203,130000,1.3081000,29456
GBPUSD,10,20200203,131000,1.3068000,50628
GBPUSD,10,20200203,132000,1.3069000,30266
GBPUSD,10,20200203,133000,1.3074000,35715
GBPUSD,10,20200203,134000,1.3068000,17340
GBPUSD,10,20200203,135000,1.3065000,26102
GBPUSD,10,20200203,140000,1.3058000,22534
GBPUSD,10,20200203,141000,1.3055000,28543
GBPUSD,10,20200203,142000,1.3066000,25789
GBPUSD,10,20200203,143000,1.3061000,19730
GBPUSD,10,20200203,144000,1.3056000,14000
GBPUSD,10,20200203,145000,1.3050000,23323
GBPUSD,10,20200203,150000,1.3060000,25820
GBPUSD,10,20200203,151000,1.3058000,18694
GBPUSD,10,20200203,152000,1.3060000,15594
GBPUSD,10,20200203,153000,1.3060000,10985
GBPUSD,10,20200203,154000,1.3058000,14941
GBPUSD,10,20200203,155000,1.3061000,15986
GBPUSD,10,20200203,160000,1.3056000,13992
GBPUSD,10,20200203,161000,1.3053000,23752
GBPUSD,10,20200203,162000,1.3058000,14244
GBPUSD,10,20200203,163000,1.3059000,23142
GBPUSD,10,20200203,164000,1.3052000,18371
GBPUSD,10,20200203,165000,1.3057000,20823
GBPUSD,10,20200203,170000,1.3059000,19428
GBPUSD,10,20200203,171000,1.3049000,21122
GBPUSD,10,20200203,172000,1.3034000,26599
GBPUSD,10,20200203,173000,1.3036000,31523
GBPUSD,10,20200203,174000,1.3025000,18192
GBPUSD,10,20200203,175000,1.3025000,21716
GBPUSD,10,20200203,180000,1.3027000,26884
GBPUSD,10,20200203,181000,1.3019000,20117
GBPUSD,10,20200203,182000,1.3021000,21986
GBPUSD,10,20200203,183000,1.3018000,30024
GBPUSD,10,20200203,184000,1.3009000,27181
GBPUSD,10,20200203,185000,1.3013000,28471
GBPUSD,10,20200203,190000,1.3012000,39500
GBPUSD,10,20200203,191000,1.3010000,24915
GBPUSD,10,20200203,192000,1.3014000,19633
GBPUSD,10,20200203,193000,1.3005000,19483
GBPUSD,10,20200203,194000,1.3002000,21599
GBPUSD,10,20200203,195000,1.3008000,20247
GBPUSD,10,20200203,200000,1.3005000,16464
GBPUSD,10,20200203,201000,1.3001000,16828
GBPUSD,10,20200203,202000,1.2990000,27480
GBPUSD,10,20200203,203000,1.2993000,17194
GBPUSD,10,20200203,204000,1.3001000,16030
GBPUSD,10,20200203,205000,1.2998000,10461
GBPUSD,10,20200203,210000,1.3005000,18041
GBPUSD,10,20200203,211000,1.3004000,11721
GBPUSD,10,20200203,212000,1.3004000,10732
GBPUSD,10,20200203,213000,1.2998000,8763
GBPUSD,10,20200203,214000,1.2992000,8879
GBPUSD,10,20200203,215000,1.2984000,10957
GBPUSD,10,20200203,220000,1.2994000,16916
GBPUSD,10,20200203,221000,1.2993000,11075
GBPUSD,10,20200203,222000,1.2990000,10299
GBPUSD,10,20200203,223000,1.2992000,11882
GBPUSD,10,20200203,224000,1.2996000,11126
GBPUSD,10,20200203,225000,1.2996000,8106
GBPUSD,10,20200203,230000,1.2998000,16299
GBPUSD,10,20200203,231000,1.2998000,13086
GBPUSD,10,20200203,232000,1.2998000,6741
GBPUSD,10,20200203,233000,1.2994000,10880
GBPUSD,10,20200203,234000,1.2990000,11122
GBPUSD,10,20200203,235000,1.2991000,7491
GBPUSD,10,20200204,000000,1.2992000,9192
GBPUSD,10,20200204,001000,1.2994000,6397
GBPUSD,10,20200204,002000,1.2995000,2827
GBPUSD,10,20200204,003000,1.2997000,1981
GBPUSD,10,20200204,004000,1.2998000,2210
GBPUSD,10,20200204,005000,1.3000000,4727
GBPUSD,10,20200204,010000,1.2993000,6449
GBPUSD,10,20200204,011000,1.2994000,363
GBPUSD,10,20200204,012000,1.2991000,2136
GBPUSD,10,20200204,013000,1.2990000,1793
GBPUSD,10,20200204,014000,1.2994000,3722
GBPUSD,10,20200204,015000,1.2996000,1605
GBPUSD,10,20200204,020000,1.2996000,1501
GBPUSD,10,20200204,021000,1.2994000,7100
GBPUSD,10,20200204,022000,1.2994000,3192
GBPUSD,10,20200204,023000,1.2997000,7011
GBPUSD,10,20200204,024000,1.2996000,11957
GBPUSD,10,20200204,025000,1.2997000,14011
GBPUSD,10,20200204,030000,1.2997000,5450
GBPUSD,10,20200204,031000,1.2990000,6868
GBPUSD,10,20200204,032000,1.2989000,3343
GBPUSD,10,20200204,033000,1.2988000,4582
GBPUSD,10,20200204,034000,1.2992000,5747
GBPUSD,10,20200204,035000,1.2992000,2932
GBPUSD,10,20200204,040000,1.2991000,4257
GBPUSD,10,20200204,041000,1.2988000,7724
GBPUSD,10,20200204,042000,1.2985000,10530
GBPUSD,10,20200204,043000,1.2982000,7610
GBPUSD,10,20200204,044000,1.2988000,8698
GBPUSD,10,20200204,045000,1.2988000,6640
GBPUSD,10,20200204,050000,1.2989000,10435
GBPUSD,10,20200204,051000,1.2984000,7351
GBPUSD,10,20200204,052000,1.2988000,10099
GBPUSD,10,20200204,053000,1.2989000,8017
GBPUSD,10,20200204,054000,1.2990000,7279
GBPUSD,10,20200204,055000,1.2990000,5993
GBPUSD,10,20200204,060000,1.2992000,7560
GBPUSD,10,20200204,061000,1.2992000,7801
GBPUSD,10,20200204,062000,1.2992000,6352
GBPUSD,10,20200204,063000,1.2992000,3469
GBPUSD,10,20200204,064000,1.2998000,17752
GBPUSD,10,20200204,065000,1.2999000,12513
GBPUSD,10,20200204,070000,1.2999000,4903
GBPUSD,10,20200204,071000,1.3001000,6257
GBPUSD,10,20200204,072000,1.3003000,5246
GBPUSD,10,20200204,073000,1.3007000,6407
GBPUSD,10,20200204,074000,1.3012000,14491
GBPUSD,10,20200204,075000,1.3013000,6896
GBPUSD,10,20200204,080000,1.3007000,9012
GBPUSD,10,20200204,081000,1.3010000,7664
GBPUSD,10,20200204,082000,1.3009000,6084
GBPUSD,10,20200204,083000,1.3013000,9112
GBPUSD,10,20200204,084000,1.3016000,12159
GBPUSD,10,20200204,085000,1.3016000,9802
GBPUSD,10,20200204,090000,1.3013000,8368
GBPUSD,10,20200204,091000,1.3018000,8433
GBPUSD,10,20200204,092000,1.3017000,7279
GBPUSD,10,20200204,093000,1.3017000,7847
GBPUSD,10,20200204,094000,1.3014000,13199
GBPUSD,10,20200204,095000,1.2997000,21321
GBPUSD,10,20200204,100000,1.2995000,12516
GBPUSD,10,20200204,101000,1.2984000,25955
GBPUSD,10,20200204,102000,1.2983000,21302
GBPUSD,10,20200204,103000,1.2967000,26634
GBPUSD,10,20200204,104000,1.2960000,24016
GBPUSD,10,20200204,105000,1.2949000,33759
GBPUSD,10,20200204,110000,1.2944000,17993
GBPUSD,10,20200204,111000,1.2958000,36023
GBPUSD,10,20200204,112000,1.2966000,29195
GBPUSD,10,20200204,113000,1.2969000,27466
GBPUSD,10,20200204,114000,1.2971000,21171
GBPUSD,10,20200204,115000,1.2968000,17133
GBPUSD,10,20200204,120000,1.2987000,25670
GBPUSD,10,20200204,121000,1.2998000,31913
GBPUSD,10,20200204,122000,1.2988000,21022
GBPUSD,10,20200204,123000,1.2995000,14762
GBPUSD,10,20200204,124000,1.3009000,32708
GBPUSD,10,20200204,125000,1.3012000,32550
GBPUSD,10,20200204,130000,1.3016000,35046
GBPUSD,10,20200204,131000,1.3011000,22957
GBPUSD,10,20200204,132000,1.3010000,18436
GBPUSD,10,20200204,133000,1.3009000,17562
GBPUSD,10,20200204,134000,1.3002000,16822
GBPUSD,10,20200204,135000,1.3006000,18998
GBPUSD,10,20200204,140000,1.3007000,13154
GBPUSD,10,20200204,141000,1.3007000,16694
GBPUSD,10,20200204,142000,1.3011000,14792
GBPUSD,10,20200204,143000,1.3009000,14299
GBPUSD,10,20200204,144000,1.3007000,11631
GBPUSD,10,20200204,145000,1.3009000,11924
GBPUSD,10,20200204,150000,1.3013000,15331
GBPUSD,10,20200204,151000,1.3014000,15545
GBPUSD,10,20200204,152000,1.3019000,21897
GBPUSD,10,20200204,153000,1.3018000,18462
GBPUSD,10,20200204,154000,1.3012000,21578
GBPUSD,10,20200204,155000,1.3010000,20051
GBPUSD,10,20200204,160000,1.3011000,21183
GBPUSD,10,20200204,161000,1.3013000,28298
GBPUSD,10,20200204,162000,1.3021000,31757
GBPUSD,10,20200204,163000,1.3036000,33150
GBPUSD,10,20200204,164000,1.3033000,45464
GBPUSD,10,20200204,165000,1.3029000,31653
GBPUSD,10,20200204,170000,1.3028000,29768
GBPUSD,10,20200204,171000,1.3029000,26444
GBPUSD,10,20200204,172000,1.3024000,28539
GBPUSD,10,20200204,173000,1.3020000,25881
